"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"153","LOC111134577","GO:0005776","autophagosome",35,3,0.26,0.00213,"Cellular Components",0.0857142857142857
"154","LOC111135156","GO:0005634","nucleus",3481,38,25.62,0.04082,"Cellular Components",0.0109164033323758
"155","LOC111135345","GO:0022625","cytosolic large ribosomal subunit",49,4,0.36,0.00045,"Cellular Components",0.0816326530612245
"156","LOC111135345","GO:0022625","cytosolic large ribosomal subunit",49,4,0.36,0.00045,"Cellular Components",0.0816326530612245
"157","LOC111135726","GO:0005694","chromosome",967,10,7.12,0.01094,"Cellular Components",0.0103412616339193
"158","LOC111135726","GO:0005730","nucleolus",181,4,1.33,0.04457,"Cellular Components",0.0220994475138122
"159","LOC111135849","GO:0022625","cytosolic large ribosomal subunit",49,4,0.36,0.00045,"Cellular Components",0.0816326530612245
"160","LOC111136084","GO:0005634","nucleus",3481,38,25.62,0.04082,"Cellular Components",0.0109164033323758
"161","LOC111136118","GO:1990124","messenger ribonucleoprotein complex",3,1,0.02,0.02192,"Cellular Components",0.333333333333333
"162","LOC111137032","GO:0005634","nucleus",3481,38,25.62,0.04082,"Cellular Components",0.0109164033323758
"163","LOC111137559","GO:0005634","nucleus",3481,38,25.62,0.04082,"Cellular Components",0.0109164033323758
"164","LOC111137659","GO:0005634","nucleus",3481,38,25.62,0.04082,"Cellular Components",0.0109164033323758
"165","LOC111137659","GO:0035101","FACT complex",3,1,0.02,0.02192,"Cellular Components",0.333333333333333
"166","LOC111138065","GO:0005764","lysosome",156,4,1.15,0.02805,"Cellular Components",0.0256410256410256
"167","LOC111138187","GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",5,1,0.04,0.03627,"Cellular Components",0.2
"168","LOC111138235","GO:0005634","nucleus",3481,38,25.62,0.04082,"Cellular Components",0.0109164033323758
"169","LOC111138333","GO:0005930","axoneme",55,3,0.4,0.01531,"Cellular Components",0.0545454545454545
"170","LOC111099053","GO:0003729","mRNA binding",160,7,1,0.00162,"Molecular Functions",0.04375
"171","LOC111099053","GO:0003743","translation initiation factor activity",48,2,0.3,0.03652,"Molecular Functions",0.0416666666666667
"172","LOC111099053","GO:0003743","translation initiation factor activity",48,2,0.3,0.03652,"Molecular Functions",0.0416666666666667
